DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,NET CASH BALANCE,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
11/9/15,,Bought 100 ORM @ 14.2,100,ORM,14.2,7,-1427,---,,,,
10/6/15,13890300604,Bought 100 USAK @ 18.939,100,USAK,18.939,7,-1900.9,---,,,,
9/24/15,13813781862,Bought 8000 PKTEF @ 0.335,8000,PKTEF,0.335,7,-2687,---,,,,
9/8/15,13748051918,Sold 1500 NAUH @ 2.7905,1500,NAUH,2.7905,7,4178.67,---,0.08,,,
5/27/15,13272057283,Sold 750 PRSS @ 4.5,750,PRSS,4.5,7,3367.93,---,0.07,,,
5/4/15,13189743721,Bought 2000 AXLE @ 0.465,2000,AXLE,0.465,7,-937,---,,,,
5/4/15,13189506795,Bought 80 USAK @ 25.55,80,USAK,25.55,7,-2051,---,,,,
4/21/15,13122884587,Bought 750 PRSS @ 3.9997,750,PRSS,3.9997,7,-3006.78,---,,,,
4/16/15,13097764837,Sold 1150 INFU @ 3.11,1150,INFU,3.11,7,3569.43,---,0.07,,,
3/30/15,13006164674,Bought 2500 PKTEF @ 0.399,2500,PKTEF,0.399,0,-997.5,---,,,,
3/30/15,13006164665,Bought 2500 PKTEF @ 0.4,2500,PKTEF,0.4,7,-1007,---,,,,
3/27/15,12999029681,Bought 200 PW @ 8.95,200,PW,8.95,7,-1797,---,,,,
3/9/15,12914893981,Bought 500 NAUH @ 3.3999,500,NAUH,3.3999,7,-1706.95,---,,,,
2/23/15,12844920239,Bought 1000 NAUH @ 3.2887,1000,NAUH,3.2887,7,-3295.7,---,,,,
2/23/15,12844851147,Sold 1900 AMZKF @ 1.74,1900,AMZKF,1.74,0,3305.93,---,0.07,,,
2/23/15,12844851143,Sold 100 AMZKF @ 1.743,100,AMZKF,1.743,7,167.29,---,0.01,,,
12/5/14,12480035035,Sold 243 AMRK @ 9.8501,243,AMRK,9.8501,7,2386.51,---,0.06,,,
10/20/14,12278931779,Bought 92 CTO @ 48.96,92,CTO,48.96,7,-4511.32,---,,,,
10/16/14,12267513734,Sold 6500 GLGI @ 0.379,6500,GLGI,0.379,0,2463.44,---,0.06,,,
10/16/14,12267513732,Sold 1000 GLGI @ 0.38,1000,GLGI,0.38,7,372.99,---,0.01,,,
10/8/14,12230819495,Bought 7500 GLGI @ 0.427,7500,GLGI,0.427,7,-3209.5,---,,,,
8/11/14,11973473995,Sold 2460 NROM @ 1.76,2460,NROM,1.76,7,4322.5,---,0.1,,,
6/17/14,11736307758,Sold 975 SPGZ,975,SPGZ,0.65,0,633.75,---,0,,,
5/14/14,11600631305,Sold 550 STRP @ 8.2401,550,STRP,8.2401,9.99,4521.96,---,0.11,,,
4/17/14,11495242204,Sold 2500 PRXI @ 0.81,2500,PRXI,0.81,9.99,2014.99,---,0.05,,,
4/17/14,11495405105,Sold 100 PRXI @ 0.8301,100,PRXI,0.8301,0,83,---,0.01,,,
4/17/14,11495405102,Sold 200 PRXI @ 0.8302,200,PRXI,0.8302,9.99,156.04,---,0.01,,,
4/7/14,11446174798,Bought 2800 PRXI @ 0.8999,2800,PRXI,0.8999,9.99,-2529.71,---,,,,
3/3/14,11252656127,Sold 225 CWGL @ 8.02,225,CWGL,8.02,9.99,1794.47,---,0.04,,,
2/28/14,11235023642,Bought 975 SPGZ @ 2.96,975,SPGZ,2.96,9.99,-2895.99,---,,,,
2/25/14,11219587192,Bought 2000 AMZKF @ 2.193,2000,AMZKF,2.193,9.99,-4395.99,---,,,,
2/25/14,11219584337,Sold 1150 INFU @ 2.9002,1150,INFU,2.9002,9.99,3325.18,---,0.06,,,
12/10/13,10870665774,Sold 45 SHFK @ 20.51,45,SHFK,20.51,9.99,912.94,---,0.02,,,
11/27/13,10812083324,Sold 1470 NROM @ 1.62,1470,NROM,1.62,9.99,2371.36,---,0.05,,,
10/25/13,10678092789,Sold 2000 NROM @ 1.52,2000,NROM,1.52,9.99,3029.95,---,0.06,,,
10/7/13,10608359941,Bought 550 STRP @ 6.14,550,STRP,6.14,9.99,-3386.99,---,,,,
9/10/13,10478155447,Sold 98 WBMD @ 33.16,98,WBMD,33.16,9.99,3239.63,---,0.06,,,
8/21/13,10405066160,Bought 98 WBMD @ 31.6099,98,WBMD,31.6099,9.99,-3107.76,---,,,,
5/15/13,10017093301,Bought 1100 INFU @ 1.43,1100,INFU,1.43,9.99,-1582.99,---,,,,
4/22/13,9882281183,Bought 1200 INFU @ 1.4799,1200,INFU,1.4799,9.99,-1785.87,---,,,,
4/4/13,9825593133,Bought 225 CWGL @ 9.61,225,CWGL,9.61,9.99,-2172.24,---,,,,
4/1/13,9805673057,Bought 1930 NROM @ 0.85,1930,NROM,0.85,9.99,-1650.49,---,,,,
2/1/13,9598259308,Bought 150 SHFK @ 11.3,150,SHFK,11.3,9.99,-1704.99,---,,,,
2/1/13,9598250537,Bought 2400 NROM @ 1.04,2400,NROM,1.04,9.99,-2505.99,---,,,,
11/28/12,9316299853,Bought 95 SHFK @ 10.5,95,SHFK,10.5,9.99,-1007.49,---,,,,
11/13/12,9274343960,Bought 1600 NROM @ 0.68,1600,NROM,0.68,9.99,-1097.99,---,,,,